state,year,barrels,type
alaska,2008,2067.69,On Premises
alaska,2009,2263.65,On Premises
alaska,2010,1929.15,On Premises
alaska,2011,2251.02,On Premises
alaska,2012,2312.43,On Premises
alaska,2013,2155.6,On Premises
alaska,2014,2114.9700000000003,On Premises
alaska,2015,4511.4800000000005,On Premises
alabama,2008,723.53,On Premises
alabama,2009,238.6,On Premises
alabama,2010,161.24,On Premises
alabama,2011,0,On Premises
alabama,2012,46.5,On Premises
alabama,2013,130.55,On Premises
alabama,2014,226.25,On Premises
alabama,2015,6109.99,On Premises
arkansas,2008,1328.35,On Premises
arkansas,2009,1279.34,On Premises
arkansas,2010,1331.85,On Premises
arkansas,2011,1124.98,On Premises
arkansas,2012,1265.9299999999998,On Premises
arkansas,2013,558.14,On Premises
arkansas,2014,657.12,On Premises
arkansas,2015,1609.38,On Premises
arizona,2008,14857.81,On Premises
arizona,2009,15640.69,On Premises
arizona,2010,16800.24,On Premises
arizona,2011,19897.83,On Premises
arizona,2012,19165.96,On Premises
arizona,2013,18763.52,On Premises
arizona,2014,17173,On Premises
arizona,2015,29869.1,On Premises
california,2008,61172.74,On Premises
california,2009,54504.99,On Premises
california,2010,58276.38,On Premises
california,2011,65069.7,On Premises
california,2012,64239.95,On Premises
california,2013,60559.56,On Premises
california,2014,65035.4,On Premises
california,2015,124974.7,On Premises
colorado,2008,48528.59,On Premises
colorado,2009,49895.79,On Premises
colorado,2010,50584.87,On Premises
colorado,2011,60811.369999999995,On Premises
colorado,2012,57966.73,On Premises
colorado,2013,60133.43,On Premises
colorado,2014,72839.26,On Premises
colorado,2015,121814.79,On Premises
connecticut,2008,2205.67,On Premises
connecticut,2009,2075.57,On Premises
connecticut,2010,1988.38,On Premises
connecticut,2011,2530.8,On Premises
connecticut,2012,1876.05,On Premises
connecticut,2013,1770.05,On Premises
connecticut,2014,1447.6,On Premises
connecticut,2015,13218.19,On Premises
delaware,2008,2005.33,On Premises
delaware,2009,2205.38,On Premises
delaware,2010,2308.99,On Premises
